"number","title","pageid","namespace","length","touched"
"485","Parodia_magnifica","25875126","","3261","20251003233032"
"486","Cylindropuntia_leptocaulis","26326775","","3112","20251228193759"
"487","Opuntia_invicta","26326815","","816","20210605192123"
"488","Echinopsis","26522218","Category","81","20230930070413"
"489","Cylindropuntia","26522483","Category","294","20200309120159"
"490","Selenicereus","26522565","Category","105","20210311162004"
"491","Disocactus","26522679","Category","73","20210311162004"
"492","Parodia","26522802","Category","81","20181115184613"
"493","Pachycereus","26522831","Category","88","20210315113827"
"494","Echinocereus","26522872","Category","89","20210315112923"
"495","Gymnocalycium","26522938","Category","84","20230929133351"
"496","Haageocereus","26522976","Category","71","20230928181819"
"497","Cephalocereus","26528395","Category","160","20210315114545"
"498","Peniocereus","26528556","Category","88","20210315114109"
"499","Myrtillocactus","26528595","Category","91","20210315113320"
"500","Psychoactive_cactus","27504270","","14171","20251228161416"
"501","Prickly_pears_in_Australia","27777921","","6154","20250924032544"
"502","Echinopsis_chamaecereus","27907404","","3694","20251113195723"
"503","Sclerocactus_johnsonii","27986358","","2987","20260108173439"
"504","Sclerocactus_polyancistrus","27987776","","4404","20251005075043"
"505","Parodia_tenuicylindrica","28350217","","3153","20221021200740"
"506","Ferocactus_latispinus","28597738","","7459","20251018160741"
"507","Parodia_curvispina","28702716","","2789","20221226072838"
"508","Cacti_of_the_United_States","28812126","Category","318","20201022161041"
"509","Erich_Werdermann","28994521","","4326","20260303143825"
"510","Stenocereus_griseus","30083082","","5946","20250623010317"
"511","Sclerocactus_brevihamatus","30403931","","4805","20250628222520"
"512","Saguaro_boot","30616095","","7028","20250829182457"
"513","Mammillaria_pottsii","30662843","","1766","20250505041356"
"514","Mammillaria_parkinsonii","30663301","","1433","20250505041353"
"515","Cochemiea_multidigitata","30663389","","4268","20250505033812"
"516","Pereskia_aculeata","30858018","","7184","20251109140837"
"517","Opuntia_aciculata","30927937","","6499","20251002232210"
"518","Pelecyphora_minima","30938088","","6319","20260214165646"
"519","Epiphyllum_phyllanthus","30948937","","2230","20250628001356"
"520","Coryphantha_ramillosa","30949276","","4098","20250628210211"
"521","Pelecyphora_sneedii","30975142","","18713","20251006145417"
"522","Cortical_bundle","31091252","","1473","20210507183210"
"523","Maihuenia_poeppigii","31169471","","3280","20251003203121"
"524","Echinocactus_horizonthalonius","31178492","","5962","20251023044053"
"525","Echinocereus_chisoensis","31187312","","7687","20251225224511"
"526","Echinocereus_fendleri","31192088","","7313","20251108173526"
"527","Echinocereus_viridiflorus","31197425","","6282","20251221190925"
"528","Sclerocactus_mariposensis","31199649","","5285","20251215233140"
"529","Cereus_(plant)","31296777","","14324","20260302073407"
"530","Opuntia_aurantiaca","31444214","","2915","20251002032516"
"531","Leuenbergeria_bleo","31469699","","4969","20251224084706"
"532","Copiapoa_cinerea","31698188","","5340","20250710162912"
"533","National_Cactus_and_Succulent_Botanical_Garden_and_Research_Centre","31702021","","4307","20260126180035"
"534","Austrocactus_coxii","31850356","","1608","20260113172755"
"535","Austrocactus_intertextus","31850379","","153","20170322050915"
"536","Pediocactus_sileri","32128174","","9918","20250629062924"
"537","Pediocactus_bradyi","32128757","","7043","20250929180337"
"538","Pediocactus_bradyi_subsp._despainii","32135716","","5351","20260302161202"
"539","Pediocactus_knowltonii","32136325","","5264","20251004025746"
"540","Pediocactus_peeblesianus","32160566","","5151","20250628220626"
"541","Pilosocereus_robinii","32225909","","8241","20250922024847"
"542","Sclerocactus_brevispinus","32493943","","4254","20240214103737"
"543","Sclerocactus_glaucus","32496136","","6084","20250629064731"
"544","Sclerocactus_wetlandicus","32516721","","4681","20250628065229"
"545","Sclerocactus_wrightiae","32517011","","4668","20250628222530"
"546","Melocactus_intortus","33150401","","2742","20260224031432"
"547","Ferocactus_peninsulae","33281158","","4750","20240627175643"
"548","Ferocactus_robustus","33281327","","4143","20251120040858"
"549","Opuntia_polyacantha","33628558","","12960","20251112101219"
"550","Sclerocactus_papyracanthus","33628750","","3086","20251031152736"
"551","Schlumbergera_orssichiana","33663870","","6812","20251231093910"
"552","Schlumbergera_russelliana","33666864","","7174","20251231093900"
"553","Rhipsalideae","33668352","","10763","20260119104400"
"554","Harrisia_(plant)","33815745","Category","82","20230928181838"
"555","Rhipsalidopsis_gaertneri","33982326","","9417","20240814025416"
"556","Melocactus_caroli-linnaei","34736899","","2866","20250817205447"
"557","Echinopsis_mamillosa","34815079","","3568","20251118105411"
"558","Ferocactus_pilosus","34815276","","5764","20240701065644"
"559","Sclerocactus","34815552","Category","85","20191219174239"
"560","Mammillaria_rekoi","34815589","","3903","20251002064621"
"561","Hylocereeae","34816465","","11742","20250207005946"
"562","Consolea_corallicola","34844349","","7450","20250928171516"
"563","Echinopsis_candicans","34847686","","7452","20260221171652"
"564","Sclerocactus_johnsonii_subsp._erectocentrus","34921779","","4375","20251031152043"
"565","Epithelantha_bokei","34922801","","2085","20251227075517"
"566","Copiapoa_atacamensis","34953453","","3516","20240131134932"
"567","Echinocereus_dasyacanthus","35020416","","7596","20251106185006"
"568","Cochemiea_thornberi","35055014","","4434","20250804214036"
"569","Stenocereus_queretaroensis","35065772","","5769","20250116092139"
"570","Neowerdermannia_vorwerkii","35066041","","4368","20260305121749"
"571","Opuntia_triacantha","35132197","","2130","20251002074202"
"572","Epiphyllum_hybrid","35183998","","14210","20250526202222"
"573","Disophyllum","35184230","","90","20161230152125"
"574","×_Disophyllum","35184239","","179","20211002021149"
"575","Rebutia_minuscula","35224983","","11570","20250624222859"
"576","Cactaceae_genera","35225238","Category","56","20181119110320"
"577","Samaipaticereus_corroanus","35227559","","4866","20251113044402"
"578","Strombocactus_disciformis","35227625","","112","20251028212905"
"579","Yavia_cryptocarpa","35227673","","152","20230928171233"
"580","Espostoopsis_dybowskii","35229245","","80","20230928181737"
"581","Grusonia","35528140","Category","56","20161230131941"
"582","Lophocereus_schottii","35538602","","5590","20260207053839"
"583","Mammillaria_longimamma","35539770","","1259","20251202175145"
"584","Leucostele_atacamensis","35539923","","5703","20240525230757"
"585","Browningia_candelaris","35550795","","8069","20260117204710"
"586","Pelecyphora_strobiliformis","35562655","","4043","20250728185238"
"587","Cereus_hildmannianus","35562891","","6683","20250519165448"
"588","Opuntia_macrocentra","35631106","","7240","20250911171936"
"589","Pachycereus_pecten-aboriginum","35667695","","9046","20240929154855"
"590","Sclerocactus_sileri","35693543","","9832","20251031152850"
"591","Ferocactus_emoryi","35877188","","5799","20260104220346"
"592","Mammillaria_morganiana","35879680","","1975","20250505041351"
"593","Cylindropuntia_spinosior","35880651","","3888","20260213225211"
"594","Mammillaria_marksiana","35889677","","2904","20250604170911"
"595","Mammillaria_grusonii","35892268","","2889","20250812044357"
"596","Melocactus_matanzanus","35893222","","2935","20250629235047"
"597","Rhipsalis_mesembryanthemoides","35900120","","3001","20260223090142"
"598","Matucana_paucicostata","35908439","","3581","20250112051033"
"599","Echinocereus_×_neomexicanus","36080914","","1602","20240502052738"
"600","Gymnocalycium_anisitsii","36199028","","5347","20260206165932"
"601","Thelocactus_setispinus","36203879","","4764","20251005224058"
"602","Mammillaria_mammillaris","36205425","","2476","20250817205414"
"603","Mammillaria_magnimamma","36208855","","3851","20251202175155"
"604","Parodia_mammulosa","36216252","","1993","20220306090224"
"605","Parodia_schumanniana","36216706","","2727","20250809084211"
"606","Echinocereus_stramineus","36387457","","5809","20251106134020"
"607","Hatiora_salicornoides","36412837","","13124","20260119105733"
"608","Opuntia_azurea","36819915","","2584","20250915102449"
"609","Opuntia_matudae","36820321","","2624","20250930001617"
"610","Echinocereus_subinermis","37501808","","5297","20251226055934"
"611","Echinopsis_backebergii","37510385","","5613","20251114174113"
"612","Ferocactus_fordii","37704088","","9056","20250930192914"
"613","Oreocereus_celsianus","37788675","","6741","20260209035418"
"614","Cleistocactus_samaipatanus","37795774","","5769","20251106092022"
"615","Gymnocalycium_quehlianum","37828062","","4788","20250405160612"
"616","Ferocactus_hamatacanthus","37842244","","6843","20250516184711"
"617","Mammillaria_bombycina","38092974","","5558","20251004065814"
"618","Mammillaria_carmenae","38096080","","2489","20210317021854"
"619","Mammillaria_geminispina","38101882","","2918","20240720211133"
"620","Mammillaria_hahniana","38101965","","2959","20251202175130"
"621","Mammillaria_plumosa","38102029","","2738","20251002112514"
"622","Leucostele_terscheckii","38278413","","5908","20241219213551"
"623","Parodia_scopa","38295981","","2165","20230615120826"
"624","Echinopsis_cinnabarina","38330431","","7382","20251117100920"
"625","West_Wetlands_Park","38942471","","40381","20251103200424"
"626","Cereus_jamacaru","39054971","","5770","20250801201549"
"627","Cochemiea_grahamii","39142931","","5356","20260225203454"
"628","Mammillaria_nivosa","39143822","","2160","20250629061206"
"629","Cylindropuntia_whipplei","39318725","","1824","20251026143636"
"630","Echinocactus","39817608","Category","84","20191219174349"
"631","Echinocereus_poselgeri","40471712","","5294","20260104065012"
"632","Echinocereus_pentalophus","40471992","","5644","20250927225624"
"633","Pellotine","40490501","","11220","20260101013530"
"634","Anhalonidine","40490532","","6392","20251224040609"
"635","Anhalidine","40490587","","3749","20260222032111"
"636","Anhalinine","40490610","","14003","20260209063700"
"637","Echinocereus_berlandieri","40530829","","3999","20250730060525"
"638","Lophophorine","40650504","","5158","20251127225147"
"639","Peyonine","40650524","","1541","20251120051137"
"640","Gymnocalycium_eurypleurum","41135309","","3688","20251006213029"
"641","Mammillaria_standleyi","41365567","","3789","20230816014319"
"642","Cochemiea_barbata","41365660","","5880","20251228020414"
"643","Opuntia_macrorhiza","41457097","","4863","20251102121323"
"644","Adriana_Hoffmann","41609700","","21954","20251130082306"
"645","Cactologists","41617136","Category","64","20181206190110"
"646","Echinocereus_arizonicus","41739980","","6469","20251112080143"
"647","Cactus_fries","41747151","","5940","20250911230956"
"648","Opuntia_pinkavae","41856052","","2922","20251003185902"
"649","Neolloydia_conoidea","41903365","","6806","20251104011719"
"650","Coryphantha_robustispina","41921609","","4423","20251018143553"
"651","Cylindropuntia_abyssi","41935217","","2101","20250916081954"
"652","Friedrich_Bödeker","42031628","","1766","20250902122116"
"653","Opuntia_pailana","42037711","","2477","20240924211842"
"654","Sclerocactus_mesae-verdae","42095160","","6681","20240106231855"
"655","Mossèn_Costa_i_Llobera_Gardens","42668333","","7498","20241221110924"
"656","Astrophytum","42761133","Category","83","20191219174139"
"657","Stetsonia_(plant)","43004159","","153","20241228182013"
"658","Espostoa_frutescens","43280124","","3658","20260117071648"
"659","Mammillaria_deherdtiana","43414509","","741","20231208225316"
"660","Mammillaria_discolor","43414534","","523","20231208141213"
"661","Cochemiea_boolii","43414558","","4418","20240108221654"
"662","Mammillaria_glassii","43414853","","7165","20251003224535"
"663","Mammillaria_gigantea","43415327","","4796","20251202175120"
"664","Cochemiea_mainiae","43415893","","3659","20250610182624"
"665","Mammillaria_bocasana","43418452","","3562","20251004052837"
"666","Mammillaria_prolifera","43418531","","14896","20251004101518"
"667","Mammillaria_mystax","43418585","","1330","20231209144611"
"668","Mammillaria_lasiacantha","43418707","","2010","20221011015350"
"669","Mammillaria_carnea","43422712","","5108","20250528002543"
"670","Mammillaria_columbiana","43426586","","719","20231208222721"
"671","Mammillaria_brandegeei","43426663","","1473","20250528175649"
"672","Mammillaria_crinita","43435013","","695","20231208222200"
"673","Mammillaria_vetula","43441319","","7877","20251202175314"
"674","Mammillaria_dixanthocentron","43449857","","1432","20250528022939"
"675","Mammillaria_muehlenpfordtii","43449874","","4930","20240507071830"
"676","Mammillaria_compressa","43449924","","3190","20251005092339"
"677","Echinocereus_fasciculatus","43707978","","4834","20251119103900"
"678","Echinocereus_pectinatus","43708519","","5653","20260101221906"
"679","Echinocereus_coccineus","43714050","","6838","20251105175411"
"680","Echinocereus_knippelianus","43716730","","3734","20251225224745"
"681","Sclerocactus_whipplei","43728180","","1085","20221011013830"
"682","Peniocereus_striatus","43836293","","4151","20210329180237"
"683","Mila_(plant)","43920603","","223","20241228181720"
"684","Monotypic_Cactaceae_genera","43920826","Category","84","20250131082852"
"685","Cactoideae","43920846","Category","104","20251224054417"
"686","Opuntioideae","43920913","Category","52","20250504105459"
"687","List_of_edible_cacti","44035436","","6856","20260226095551"
"688","Colonche","44260833","","3740","20260105031030"
"689","Notocacteae","44292169","","13496","20260104230607"
"690","Cereeae","44292220","","9548","20260110103840"
"691","Rebutiinae","44292271","","8100","20250527183222"
"692","Cereus_(plant)","44386925","Category","72","20230928164932"
"693","Echinocereus_rigidissimus","44506118","","6057","20250929095737"
"694","Stenocactus_multicostatus","45021084","","6752","20250728222017"
"695","Astrophytum_caput-medusae","45043124","","2817","20250930035222"
"696","Leuenbergeria","45139503","","8883","20250829195244"
"697","Opuntia_picardoi","45589876","","626","20250101224910"
"698","Echinopsis_angelesiae","45590108","","3732","20260220102126"
"699","Cleistocactus_morawetzianus","45590208","","3556","20251102183908"
"700","Cylindropuntia_molesta","45590311","","1418","20251026074215"
"701","Cylindropuntia_calmalliana","45590314","","1369","20251227184332"
"702","Cleistocactus_tominensis","45593022","","4305","20260228090819"
"703","Cleistocactus_capadalensis","45593096","","2381","20251226100202"
"704","Cleistocactus_crassicaulis","45593111","","3931","20251226100256"
"705","Coats_of_arms_with_cacti","46292805","Category","63","20260101175033"
"706","Coryphantha","46729045","Category","77","20161230122506"
"707","Matucana_aurantiaca","47050263","","5214","20251018200356"
"708","David_Griffiths_(botanist)","47164652","","6629","20251226101730"
"709","Opuntia_diploursina","47234278","","2876","20250410091159"
"710","Opuntia_trichophora","47265811","","1203","20241222220422"
"711","Opuntia_erinacea","47266003","","1184","20250412010539"
"712","Opuntia_mackensenii","47522367","","1256","20260214190512"
"713","Opuntia_tortispina","47522368","","5316","20250414062524"
"714","Opuntia_pottsii","47522373","","1844","20251226120447"
"715","Mammillaria_backebergiana","47581289","","951","20231209010131"
"716","Mammillaria_baumii","47738284","","1462","20251004233341"
"717","Cochemiea_goodridgei","47742154","","2874","20241122083134"
"718","Grusonia_grahamii","47750627","","1160","20260306163401"
"719","Parodia_herteri","47752321","","1705","20251004184524"
"720","Parodia_columnaris","47752428","","1884","20251002205952"
"721","Opuntia_cochenillifera","47757975","","2420","20251015220553"
"722","Opuntia_tuna","47758454","","1603","20260131175250"
"723","Homalocephala_texensis","47772196","","5206","20260301130931"
"724","Homalocephala_parryi","47775638","","5099","20260131102333"
"725","Nigel_Taylor","47807553","","1238","20250902124139"
"726","Thomas_Harvey_Johnston","48615186","","16087","20251031054438"
"727","Grusonia_bulbispina","48871949","","633","20240506002410"
"728","Mammillaria_perezdelarosae","48878195","","1921","20251203075601"
"729","Oaxaca_Ethnobotanical_Garden","49215123","","5816","20250808174122"
"730","Thelocactus_hexaedrophorus","49503579","","6973","20251006092310"
"731","Thelocactus_rinconensis","49504722","","5552","20251005104509"
"732","Thelocactus_tulensis","49504763","","5483","20251005101753"
"733","Thelocactus_bicolor","49504815","","8229","20251005214359"
"734","Thelocactus_leucacanthus","49504880","","5692","20251005074819"
"735","Gymnocalycium_baldianum","49589605","","5342","20251004010317"
"736","Gymnocalycium_oenanthemum","49589745","","3340","20251004143109"
"737","Helia_Bravo_Hollis","49725679","","10713","20250902122631"
"738","Edward_Frederick_Anderson","50789199","","2229","20250925071839"
"739","Austrocylindropuntia_subulata","50867138","","4278","20251001144355"
"740","Cacti_of_North_America","51031578","Category","481","20230618062701"
"741","Echinocereus_nivosus","51361318","","3521","20251001153436"
"742","Echinopsis_thelegona","51361417","","3843","20260221110840"
"743","Parodia_ottonis","51361561","","13432","20251004083925"
"744","Parodia_warasii","51361620","","905","20230813015829"
"745","Coryphantha_pycnacantha","51361696","","1248","20230812133550"
"746","Astrophytum_coahuilense","51522636","","2212","20250928123131"
"747","Aylostera_albopectinata","51729321","","1080","20231002061409"
"748","Ferocactus_alamosanus","51729415","","4106","20250610172722"
"749","Ferocactus_chrysacanthus","51729430","","8077","20260104214201"
"750","Ferocactus_diguetii","51729453","","7358","20251227113841"
"751","Ferocactus_flavovirens","51729469","","4243","20251231100916"
"752","Ferocactus_gracilis","51729498","","4984","20260129161340"
"753","Ferocactus_townsendianus","51729515","","6803","20251227055916"
"754","Ferocactus_santa-maria","51729551","","3148","20260124171942"
"755","Ferocactus_schwarzii","51729583","","3056","20260104213916"
"756","Ferocactus_pottsii","51729624","","4035","20251227063711"
"757","Ferocactus_histrix","51729666","","6649","20240701064411"
"758","Rebutia","51745686","Category","205","20230929133745"
"759","Frailea_castanea","52375216","","867","20221010033300"
"760","Frailea_cataphracta","52375241","","756","20221011003804"
"761","Frailea_chiquitana","52375261","","689","20221011003645"
"762","Frailea_curvispina","52375313","","620","20221011003734"
"763","Frailea_gracillima","52375323","","4037","20231218102843"
"764","Frailea_mammifera","52375372","","635","20221011003935"
"765","Frailea_phaeodisca","52375381","","721","20241218043948"
"766","Frailea_pumila","52375415","","757","20250614161549"
"767","Frailea_pygmaea","52375449","","752","20221011004331"
"768","Frailea_schilinzkyana","52375462","","768","20260214191736"
"769","Frailea","52386575","Category","74","20181231224005"
"770","Mammillaria_elegans","52678942","","1612","20240602235311"
"771","Opuntioideae_genera","52728938","Category","51","20181126215353"
"772","Cactoideae_genera","52729107","Category","66","20201022194046"
"773","Cacti_by_location","52729451","Category","63","20161230140400"
"774","Maihuenioideae","52729638","Category","67","20210426085056"
"775","Echinocereus_relictus","52842802","","4046","20251111110927"
"776","Echinocereus_bonkerae","52843089","","4260","20250930202214"
"777","Espostoa_lanata","53046593","","3405","20251214162515"
"778","Harrisia_tortuosa","53279204","","4561","20251003093654"
"779","Armatocereus_rauhii","53586399","","5667","20260112071425"
"780","Rimacactus","53639793","","4624","20260126051746"
"781","Acharagma_aguirreanum","53842595","","3496","20260310043040"
"782","Opuntia_aurea","54349640","","1883","20251003182355"
"783","Opuntia_rufida","54349877","","4213","20250414043211"
"784","Opuntia_dulcis","54365172","","1752","20250919153202"
"785","Opuntia_anahuacensis","54365414","","1600","20250916082056"
"786","Opuntia_lindheimeri","54365808","","2428","20210311183913"
"787","Opuntia_×_alta","54374276","","2178","20250811185123"
"788","Opuntia_atrispina","54374540","","2085","20251003171346"
"789","Opuntia_ammophila","54397047","","2003","20251002101431"
"790","Opuntia_abjecta","54405256","","2491","20251002023537"
"791","Opuntia_arenaria","54453499","","1488","20210308222732"
"792","Stenocereus_pruinosus","54518905","","5802","20251006015758"
"793","Cereus_spegazzinii","54641671","","2866","20230827211037"
"794","Cereus_aethiops","54641724","","3580","20250617220713"
"795","Opuntia_cacanapa","54667655","","1600","20231208011507"
"796","Pelecyphora_macromeris","55175209","","7083","20250629062936"
"797","Notocacteae","55429529","Category","49","20171003170057"
"798","Psychoactive_cacti","55591848","Category","232","20200719075414"
"799","Denmoza_rhodacantha","55592812","","113","20251117183003"
"800","Epiphyllum","56025969","Category","49","20210311162004"
"801","Cactus_gardens","56033022","Category","117","20251224054312"
"802","Jardín_de_Cactus","56059469","","2185","20230920202250"
"803","Stenocereus_gummosus","56062445","","5917","20250112060034"
"804","Stenocereus_stellatus","56062508","","5487","20250119161430"
"805","Monvillea_euchlora","56076023","","4300","20251128143035"
"806","Monvillea_saxicola","56076058","","4326","20251128150730"
"807","Pilosocereus_catingicola","56082623","","2133","20251002220659"
"808","Eulychnia_acida","56177991","","6685","20260201100301"
"809","Opuntia_cespitosa","56410609","","2511","20250915102413"
"810","Ferocactus_macrodiscus","56419486","","4051","20240915030409"
"811","Ferocactus_haematacanthus","56419532","","3446","20240701064313"
"812","Gymnocalycium_leeanum","56428779","","693","20210416070339"
"813","Gymnocalycium_denudatum","56428795","","3878","20241208044943"
"814","Gymnocalycium_ragonesei","56428803","","3257","20251003003941"
"815","Gymnocalycium_stellatum","56428810","","745","20210308215331"
"816","Gymnocalycium_monvillei","56428816","","3991","20260201030821"
"817","Gymnocalycium_bruchii","56428850","","3484","20250405093128"
"818","Gymnocalycium_uruguayense","56428880","","4818","20250406191856"
"819","Gymnocalycium_amerhauseri","56428900","","2542","20250404073619"
"820","Gymnocalycium_andreae","56428906","","3214","20260211123615"
"821","Gymnocalycium_bayrianum","56428910","","2622","20251006213019"
"822","Gymnocalycium_taningaense","56428924","","2848","20250406185226"
"823","Gymnocalycium_spegazzinii","56429253","","3541","20250406182644"
"824","Gymnocalycium_robustum","56429275","","3133","20250406173538"
"825","Armatocereus_cartwrightianus","56429320","","3414","20260104071422"
"826","Armatocereus_godingianus","56429326","","3331","20260104070536"
"827","Armatocereus_laetus","56429330","","3172","20260104110252"
"828","Armatocereus_matucanensis","56429341","","2738","20260104071035"
"829","Pygmaeocereus_bieblii","56429380","","2819","20241228102919"
"830","Pygmaeocereus_bylesianus","56429401","","3736","20251004022612"
"831","Facheiroa_squamosa","56437322","","3368","20260306034119"
"832","Discocactus_bahiensis","56437338","","5454","20260129011534"
"833","Acanthocalycium_thionanthum_subsp._ferrarii","56437381","","1174","20221116222647"
"834","Acanthocalycium_thionanthum_subsp._glaucum","56437388","","788","20230528003542"
"835","Acanthocalycium_klimpelianum","56437395","","706","20250318221032"
"836","Acanthocalycium_spiniflorum","56437443","","4846","20250318224002"
"837","Acanthocalycium_thionanthum","56437449","","4041","20250318224112"
"838","Arthrocereus_spinosissimus","56437469","","3447","20251109025947"
"839","Cereus_fricii","56438570","","2099","20230813190826"
"840","Armatocereus","56443572","Category","51","20180129223716"
"841","Discocactus","56443686","Category","79","20230928131743"
"842","Arthrocereus","56443751","Category","81","20230928171737"
"843","Acanthocalycium","56445831","Category","71","20250318221110"
"844","Gymnocalycium_gibbosum","56465112","","4541","20231229010232"
"845","Gymnocalycium_ochoterenae","56465146","","3757","20250405131228"
"846","Gymnocalycium_pflanzii","56465170","","1070","20231208071621"
"847","Gymnocalycium_paraguayense","56465187","","5116","20250405133532"
"848","Weberbauerocereus_cuzcoensis","56465260","","2976","20240706205528"
"849","Weberbauerocereus_johnsonii","56465283","","169","20241031200823"
"850","Weberbauerocereus_rauhii","56465327","","2885","20240706205541"
"851","Weberbauerocereus_weberbaueri","56465358","","3646","20240706205555"
"852","Weberbauerocereus","56498000","Category","91","20230928182711"
"853","Mammillaria_surculosa","57023764","","3134","20251004183808"
"854","Mammillaria_sphaerica","57030372","","3021","20251004131001"
"855","Eriosyce_chilensis","57535759","","2100","20260101191826"
"856","Coryphantha_echinus","57690956","","2341","20251008111124"
"857","Oreocereus_trollii","57868150","","5214","20250610231235"
"858","Ariocarpus_trigonus","58014539","","4283","20251227112910"
"859","Echinopsis_ancistrophora","58162129","","6957","20251114114128"
"860","Bertha_Marion_Lahman","58220125","","3302","20260221095625"
"861","Prickly_pears_in_South_Africa","58398299","","8937","20260207203941"
"862","Mammillaria_beneckei","58492345","","2061","20250604060123"
"863","Mammillaria_supertexta","58492465","","1547","20240924223419"
"864","Mammillaria_heyderi","58492505","","2547","20250124155838"
"865","Mammillaria_karwinskiana","58492594","","2002","20250805205100"
"866","Mammillaria_haageana","58504761","","2665","20220930014156"
"867","Cylindropuntia_tunicata","58579907","","4671","20251227030853"
"868","Aylostera_fiebrigii","58586833","","3251","20241111053555"
"869","Cacti_of_Canada","60230497","Category","260","20200110030511"
"870","Tephrocactus_alexanderi","60258112","","1943","20250414063556"
"871","Mammillaria_senilis","60989416","","2117","20220930014209"
"872","Aztekium_hintonii","61024410","","4350","20260125211915"
"873","Rhipsalidopsis_rosea","61037462","","2446","20250507190224"
"874","Schlumbergera_lutea","61137675","","5149","20251118055054"
"875","Hatiora_cylindrica","61242597","","5605","20260119104933"
"876","Hatiora_herminiae","61257852","","4736","20230813045739"
"877","Cereus_phatnospermus","61437230","","4354","20250729202629"
"878","Cereus_vargasianus","61437261","","2693","20260125070032"
"879","Selenicereus_monacanthus","61444533","","2330","20230807075226"
"880","Cereus_hexagonus","61449932","","4598","20250805055528"
"881","Cereus_insularis","61458604","","4116","20250929005811"
"882","Opuntia_fuliginosa","61459693","","1613","20250915102559"
"883","Opuntia_elata","61459725","","2819","20251004125307"
"884","Opuntia_stenopetala","61482736","","2178","20240201172239"
"885","Opuntia_quitensis","61482789","","1605","20250414041150"
"886","Cereus_forbesii","61590312","","5550","20260125071342"
"887","Opuntia_anacantha","62113166","","3020","20251002013432"
"888","Opuntia_auberi","62113225","","2883","20251206034231"
"889","Opuntia_hyptiacantha","62114216","","4213","20250411102801"
"890","Opuntia_nemoralis","62572885","","2116","20250916082014"
"891","Echinopsis_formosa","62607988","","5568","20260225074750"
"892","Echinopsis_densispina","62608013","","11305","20241220025310"
"893","Echinopsis_aurea","62608028","","3549","20241218044141"
"894","Echinopsis_bridgesii","62608040","","4663","20251222024251"
"895","Echinopsis_bruchii","62608052","","3464","20260220115509"
"896","Echinopsis_haematantha","62608082","","7182","20260113174408"
"897","Echinopsis_ferox","62608110","","4762","20251118063403"
"898","Echinopsis_obrepanda","62611746","","5522","20251123080902"
"899","Echinopsis_huascha","62611756","","7966","20260226172739"
"900","Echinopsis_hertrichiana","62612182","","5030","20251123075345"
"901","Echinopsis_chalaensis","62612197","","2116","20251028172654"
"902","Echinopsis_camarguensis","62612291","","2843","20260221080924"
"903","Acanthocalycium_klinglerianum","62612771","","2682","20250318221416"
"904","Echinopsis_tacaquirensis","62612800","","2933","20241220025457"
"905","Echinopsis_uyupampensis","62618371","","3138","20251223111854"
"906","Echinopsis_pentlandii","62618383","","10620","20251123052241"
"907","Echinopsis_yuquina","62622253","","1683","20251115181910"
"908","Echinopsis_strigosa","62626926","","3898","20260227123031"
"909","Setiechinopsis","62626939","","3712","20241228182246"
"910","Echinopsis_tarijensis","62626956","","4391","20260226165814"
"911","Echinopsis_schieliana","62626980","","3654","20251115102941"
"912","Echinopsis_pampana","62627053","","4257","20251116175124"
"913","Echinopsis_tiegeliana","62627062","","4634","20251223081838"
"914","Echinopsis_crassicaulis","62627079","","5131","20260226080825"
"915","Echinopsis_chrysantha","62627085","","3851","20250330102650"
"916","Echinopsis_maximiliana","62629880","","4658","20251123124011"
"917","Cylindropuntia_fosbergii","62738190","","6057","20250919152657"
"918","Cereus_stenogonus","62945240","","4950","20260125073744"
"919","Cylindropuntia_ganderi","63376885","","1355","20251025150150"
"920","Consolea_moniliformis","63664656","","5176","20251221111908"
"921","Quito_Botanical_Garden","63725848","","6475","20241030042124"
"922","Epiphyllum_hookeri","63955391","","2055","20250628061035"
"923","Pediocactus","63961932","Category","82","20200515021214"
"924","Echinopsis_clavata","64427806","","2397","20251108071040"
"925","Echinopsis_calochlora","64427833","","2868","20251231022311"
"926","Cereus_pierre-braunianus","64484200","","3174","20260111012422"
"927","Cereus_lanosus","64484263","","3002","20231229062845"
"928","Corryocactus_brevistylus","64959061","","5978","20260110235417"
"929","Corryocactus_apiciflorus","64959084","","3658","20260105063632"
"930","Corryocactus_erectus","64959099","","3449","20260113074105"
"931","Corryocactus","64959680","Category","54","20221124221209"
"932","Gordon_Rowley","65056331","","8248","20250902124054"
"933","Melocactus_lemairei","65283345","","4559","20251004071016"
"934","Copiapoa_hypogaea","65578132","","2251","20240528194604"
"935","Eriosyce_senilis","65754372","","1844","20210311165208"
"936","Pilosocereus_leucocephalus","65760485","","4527","20250316085148"
"937","Matucana_intertexta","65763605","","3961","20240713110625"
"938","Opuntia_sulphurea","65771018","","8442","20251002095701"
"939","Weingartia_arenacea","65829888","","2191","20241226050818"
"940","Weingartia_canigueralii","65829972","","5697","20251005165052"
"941","Weingartia_alba","65830081","","1551","20251228182023"
"942","Weingartia_cantargalloensis","65830088","","1737","20251228182028"
"943","Weingartia_crispata","65830091","","2151","20251228165410"
"944","Weingartia_fischeriana","65830096","","1558","20251228182038"
"945","Weingartia_frankiana","65830097","","1514","20251228182043"
"946","Weingartia_heliosoides","65830100","","963","20241227074614"
"947","Weingartia_losenickyana","65830102","","2121","20251228173830"
"948","Weingartia_vasqueziana","65830114","","2255","20251228182058"
